File Number,Date of Report,Crime Date Time,Crime,Reporting Area,Neighborhood,Location,reporting_area_group
2017-07160,2017-10-08 18:36:00,2017-10-08 18:36:00,Hit and Run,1202,Highlands,"CONCORD AVE & Moulton St, Cambridge, MA",12
2017-01783,2017-03-23 18:58:00,2017-03-23 18:57:00,Suspicious Package,804,Agassiz,"1800 MASSACHUSETTS AVE, Cambridge, MA",8
2015-02242,2015-04-01 19:54:00,2015-04-01 19:53:00,Forgery,702,Riverside,"600 GREEN ST, Cambridge, MA",7
2010-00290,2010-01-13 14:46:00,2010-01-13 14:46:00,Missing Person,606,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",6
2012-08940,2012-11-14 07:39:00,2012-11-14 07:39:00,Warrant Arrest,1110,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",11
2015-03512,2015-05-19 11:44:00,2015-05-19 11:44:00,Accident,303,Inman/Harrington,"BINNEY ST & CARDINAL MEDEIROS AVE, Cambridge, MA",3
2024-04181,2024-05-21 00:29:00,2024-05-21 00:29:00,Mal. Dest. Property,411,Area 4,"0 BISHOP ALLEN DR, Cambridge, MA",4
2022-01057,2022-02-16 19:24:00,2022-02-16 19:23:00,Missing Person,510,Cambridgeport,"800 MEMORIAL DR, Cambridge, MA",5
2017-04516,2017-07-04 08:34:00,2017-07-03 16:00:00,Flim Flam,1006,West Cambridge,"0 HEMLOCK RD, Cambridge, MA",10
2014-00638,2014-01-28 16:35:00,2014-01-28 12:00:00,Larceny from Residence,105,East Cambridge,"100 OTIS ST, Cambridge, MA",1
2018-08455,2018-11-29 20:59:00,2018-11-29 20:58:00,Accident,408,Area 4,"FRONT ST & MASSACHUSETTS AVE, Cambridge, MA",4
2021-02117,2021-04-01 10:30:00,2021-04-01 10:29:00,Admin Error,502,Cambridgeport,"100 LANDSDOWNE ST, Cambridge, MA",5
2009-06459,2009-08-31 12:26:00,2009-08-29 16:15:00,Forgery,501,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",5
2022-05026,2022-07-10 22:47:00,2022-07-10 22:47:00,Larceny from Residence,707,Riverside,"0 Mount Auburn St, Cambridge, MA",7
2018-02270,2018-04-12 15:46:00,2018-04-12 15:45:00,Warrant Arrest,702,Riverside,"0 PUTNAM AVE, Cambridge, MA",7
2016-09152,2016-12-19 02:52:00,2016-12-19 02:51:00,Commercial Break,409,Area 4,"100 BISHOP ALLEN DR, Cambridge, MA",4
2021-04476,2021-06-25 20:05:00,2021-06-25 20:05:00,Rec. Stol. Property,411,Area 4,"BISHOP ALLEN DR & ESSEX ST, Cambridge, MA",4
2020-08599,2020-12-01 15:30:00,2020-12-01 15:30:00,Forgery,1110,North Cambridge,"200 CONCORD TPKE, Cambridge, MA",11
2016-05609,2016-08-03 08:29:00,2016-08-03 08:28:00,Suspicious Package,105,East Cambridge,"200 THIRD ST, Cambridge, MA",1
2014-08491,2014-11-06 17:30:00,2014-11-06 17:29:00,Taxi Violation,602,Mid-Cambridge,"800 MASSACHUSETTS AVE, Cambridge, MA",6
2022-07215,2022-09-18 13:46:00,2022-09-18 13:46:00,Flim Flam,1011,West Cambridge,"200 FAYERWEATHER ST, Cambridge, MA",10
2018-04061,2018-06-19 15:06:00,2018-06-19 15:06:00,Shoplifting,1102,North Cambridge,"2200 MASSACHUSETTS AVE, Cambridge, MA",11
2015-08931,2015-11-27 19:32:00,2015-11-27 18:22:00,Larceny from Building,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2015-09102,2015-12-04 13:35:00,2015-12-04 13:34:00,Accident,708,Riverside,"0 JFK ST, Cambridge, MA",7
2022-10379,2022-12-30 16:35:00,2022-12-30 09:30:00,Flim Flam,102,East Cambridge,"100 Cambridgeside Pl, Cambridge, MA",1
2016-05956,2016-08-16 07:28:00,2016-08-16 07:28:00,Hit and Run,1301,Strawberry Hill,"ABERDEEN AVE & HURON AVE, Cambridge, MA",13
2022-06996,2022-09-11 21:30:00,2022-09-11 14:10:00,Hit and Run,302,Inman/Harrington,"400 NORFOLK ST, Cambridge, MA",3
2018-03547,2018-05-29 20:25:00,2018-05-29 20:24:00,Taxi Violation,403,Area 4,"BROADWAY & MOORE ST, Cambridge, MA",4
2023-08856,2023-09-28 18:58:00,2023-09-28 15:30:00,Hit and Run,1004,West Cambridge,"0 Garden St, Cambridge, MA",10
2010-00704,2010-01-31 19:09:00,2010-01-31 19:09:00,Simple Assault,502,Cambridgeport,"0 BROOKLINE PL, Cambridge, MA",5
2022-05725,2022-08-01 12:51:00,2022-08-01 12:50:00,Larceny from Residence,704,Riverside,"0 HOWARD ST, Cambridge, MA",7
2013-01278,2013-02-21 20:24:00,2013-02-21 20:23:00,Simple Assault,502,Cambridgeport,,5
2022-06440,2022-08-24 19:18:00,2022-08-24 19:18:00,Street Robbery,705,Riverside,"Western Ave & Franklin St, Cambridge, MA",7
2013-00674,2013-01-28 23:00:00,2013-01-28 23:00:00,Housebreak,405,Area 4,"200 HARVARD ST, Cambridge, MA",4
2015-03122,2015-05-05 18:49:00,2015-05-05 18:48:00,Simple Assault,411,Area 4,"ESSEX ST & MASSACHUSETTS AVE, Cambridge, MA",4
2023-00470,2023-01-19 14:50:00,2023-01-17 22:00:00,Larceny of Bicycle,1102,North Cambridge,"Massachusetts Ave & Cameron Ave, Cambridge, MA",11
2009-08778,2009-11-24 02:28:00,2009-11-24 02:28:00,Mal. Dest. Property,404,Area 4,"0 MARKET ST, Cambridge, MA",4
2017-05375,2017-08-03 00:49:00,2017-08-03 00:48:00,Simple Assault,501,Cambridgeport,"200 GREEN ST, Cambridge, MA",5
2020-01651,2020-03-07 18:22:00,2020-03-07 18:22:00,Accident,304,Inman/Harrington,"400 BINNEY ST, Cambridge, MA",3
2014-09177,2014-12-02 20:10:00,2014-12-02 20:09:00,Street Robbery,506,Cambridgeport,"PEARL ST & WATSON ST, Cambridge, MA",5
2020-09281,2020-12-28 08:04:00,2020-12-28 07:30:00,Missing Person,509,Cambridgeport,"0 TUFTS ST, Cambridge, MA",5
2016-04737,2016-07-02 00:36:00,2016-07-02 00:36:00,Aggravated Assault,701,Riverside,"MASSACHUSETTS AVE & PLEASANT ST, Cambridge, MA",7
2013-06774,2013-08-31 07:13:00,2013-08-31 07:12:00,Arson,411,Area 4,"0 DOUGLASS ST, Cambridge, MA",4
2022-10100,2022-12-20 01:24:00,2022-12-20 01:23:00,Missing Person,406,Area 4,"100 ELM ST, Cambridge, MA",4
2018-06977,2018-10-01 19:27:00,2018-10-01 19:26:00,Warrant Arrest,1101,North Cambridge,"0 WHITE ST, Cambridge, MA",11
2013-02812,2013-04-23 12:12:00,2013-04-22 14:03:00,Extortion/Blackmail,1105,North Cambridge,"0 PORTER RD, Cambridge, MA",11
2018-01067,2018-02-19 20:55:00,2018-02-19 20:54:00,Aggravated Assault,701,Riverside,,7
2019-04970,2019-07-17 08:48:00,2019-07-17 08:47:00,Larceny of Bicycle,1002,West Cambridge,"0 BRATTLE SQ, Cambridge, MA",10
2015-03115,2015-05-05 17:31:00,2015-05-05 17:30:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2014-06445,2014-08-31 13:45:00,2014-08-31 13:45:00,Trespassing,905,Peabody,"1800 MASSACHUSETTS AVE, Cambridge, MA",9
2012-05151,2012-07-10 08:49:00,2012-07-10 08:48:00,Commercial Break,707,Riverside,"0 ARROW ST, Cambridge, MA",7
2009-09131,2009-12-07 08:20:00,2009-12-07 08:20:00,Threats,509,Cambridgeport,"0 GRANITE ST, Cambridge, MA",5
2018-01970,2018-03-30 20:56:00,2018-03-28 18:00:00,Simple Assault,1303,Strawberry Hill,"0 CORCORAN LN, Cambridge, MA",13
2021-09182,2021-12-15 15:53:00,2021-12-15 15:52:00,Shoplifting,1002,West Cambridge,"100 CHURCH ST, Cambridge, MA",10
2013-08628,2013-10-30 10:32:00,2013-10-30 10:32:00,Warrant Arrest,501,Cambridgeport,"600 Massachusetts Ave, Cambridge, MA",5
2017-00478,2017-01-23 12:12:00,2017-01-23 12:12:00,Hit and Run,904,Peabody,"200 UPLAND RD, Cambridge, MA",9
2010-04188,2010-06-11 10:58:00,2010-06-11 10:58:00,Warrant Arrest,501,Cambridgeport,"MASSACHUSETTS AVE & SIDNEY ST, Cambridge, MA",5
2010-05246,2010-07-15 06:36:00,2010-07-15 06:36:00,Warrant Arrest,704,Riverside,"300 PUTNAM AVE, Cambridge, MA",7
2023-10621,2023-11-19 19:36:00,2023-11-19 19:36:00,Admin Error,305,Inman/Harrington,"1000 CAMBRIDGE ST, Cambridge, MA",3
2013-00846,2013-02-04 20:34:00,2013-02-04 20:34:00,Mal. Dest. Property,102,East Cambridge,"CAMBRIDGESIDE PL & Charles St, Cambridge, MA",1
2019-06001,2019-08-20 09:07:00,2019-08-20 09:06:00,Admin Error,105,East Cambridge,"100 SPRING ST, Cambridge, MA",1
2016-02664,2016-04-21 20:16:00,2016-04-21 20:15:00,Hit and Run,403,Area 4,"BROADWAY & PORTLAND ST, Cambridge, MA",4
2014-07119,2014-09-22 18:16:00,2014-09-22 18:15:00,Embezzlement,701,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",7
2022-08721,2022-11-04 15:59:00,2022-11-04 15:59:00,Accident,1201,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2022-01398,2022-03-02 10:21:00,2022-03-02 10:20:00,Larceny from Building,105,East Cambridge,"200 SPRING ST, Cambridge, MA",1
2013-10104,2013-12-28 13:49:00,2013-12-28 13:49:00,Warrant Arrest,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2021-03525,2021-05-23 15:53:00,2021-05-23 15:53:00,Admin Error,1201,Highlands,"FAWCETT ST & Fawcett St, Cambridge, MA",12
2017-01083,2017-02-19 01:53:00,2017-02-19 01:52:00,Larceny of Services,406,Area 4,"200 PROSPECT ST, Cambridge, MA",4
2013-00155,2013-01-07 06:42:00,2012-12-27 06:41:00,Mal. Dest. Property,510,Cambridgeport,"PUTNAM AVE & RIVER ST, Cambridge, MA",5
2022-08080,2022-10-17 09:07:00,2022-10-17 09:06:00,Accident,201,MIT,"AMES ST & BROADWAY, Cambridge, MA",2
2010-09883,2010-12-22 11:19:00,2010-12-22 11:19:00,Forgery,1202,Highlands,"800 CONCORD AVE, Cambridge, MA",12
2019-06399,2019-09-03 14:09:00,2019-09-03 14:09:00,Mal. Dest. Property,1107,North Cambridge,"100 RINDGE AVE, Cambridge, MA",11
2021-05475,2021-08-02 07:52:00,2021-08-02 07:51:00,Aggravated Assault,1109,North Cambridge,"400 RINDGE AVE, Cambridge, MA",11
2012-07548,2012-09-24 16:23:00,2012-09-24 16:23:00,Simple Assault,801,Agassiz,"HAMMOND ST & OXFORD ST, Cambridge, MA",8
2016-06509,2016-09-06 16:54:00,2016-09-06 16:53:00,Warrant Arrest,502,Cambridgeport,"200 ALBANY ST, Cambridge, MA",5
2013-07199,2013-09-15 00:46:00,2013-09-15 00:45:00,Street Robbery,403,Area 4,"BROADWAY & PORTLAND ST, Cambridge, MA",4
2011-05270,2011-07-14 17:45:00,2011-07-14 17:45:00,Admin Error,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2022-03081,2022-05-05 15:14:00,2022-05-05 15:14:00,Larceny from Building,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2022-07434,2022-09-26 12:24:00,2022-09-26 12:24:00,Threats,1002,West Cambridge,"0 CHURCH ST, Cambridge, MA",10
2022-09907,2022-12-13 13:28:00,2022-12-13 13:27:00,Auto Theft,1104,North Cambridge,"0 MATIGNON RD, Cambridge, MA",11
2023-10004,2023-11-01 05:02:00,2023-11-01 05:02:00,Larceny from MV,706,Riverside,"600 FRANKLIN ST, Cambridge, MA",7
2014-09694,2014-12-20 13:47:00,2014-12-20 13:30:00,Flim Flam,1103,North Cambridge,"0 CAMERON AVE, Cambridge, MA",11
2022-09305,2022-11-22 16:01:00,2022-11-22 16:00:00,Violation of H.O.,409,Area 4,"0 COLUMBIA TER, Cambridge, MA",4
2021-00152,2021-01-07 18:22:00,2021-01-07 18:22:00,Hit and Run,508,Cambridgeport,"ALLSTON ST & MAGAZINE ST, Cambridge, MA",5
2017-00156,2017-01-08 22:07:00,2017-01-08 22:07:00,Missing Person,1303,Strawberry Hill,"0 CORCORAN LN, Cambridge, MA",13
2017-05570,2017-08-10 08:09:00,2017-08-10 08:09:00,Suspicious Package,1201,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2016-05791,2016-08-09 21:07:00,2016-08-09 21:06:00,Hit and Run,204,MIT,"100 MASSACHUSETTS AVE, Cambridge, MA",2
2014-09301,2014-12-07 07:48:00,2014-12-07 07:48:00,Trespassing,411,Area 4,"500 Massachusetts Ave, Cambridge, MA",4
2022-05791,2022-08-03 09:44:00,2022-08-02 21:30:00,Housebreak,910,Peabody,"0 WALDEN SQUARE RD, Cambridge, MA",9
2019-06111,2019-08-24 18:20:00,2019-08-24 12:00:00,Larceny of Bicycle,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2019-05797,2019-08-14 08:29:00,2019-08-14 08:29:00,Suspicious Package,901,Peabody,"GARDEN ST & MASSACHUSETTS AVE, Cambridge, MA",9
2020-00080,2020-01-04 17:30:00,2020-01-04 17:29:00,Aggravated Assault,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2023-09992,2023-10-31 15:55:00,2023-10-31 15:54:00,Simple Assault,611,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",6
2018-04272,2018-06-26 18:25:00,2018-06-26 18:24:00,Warrant Arrest,701,Riverside,"MASSACHUSETTS AVE & PLEASANT ST, Cambridge, MA",7
2011-00437,2011-01-20 09:24:00,2011-01-20 09:24:00,Warrant Arrest,1102,North Cambridge,"0 MILTON ST, Cambridge, MA",11
2019-04592,2019-07-03 20:22:00,2019-07-03 20:21:00,Simple Assault,408,Area 4,"100 HARVARD ST, Cambridge, MA",4
2017-04850,2017-07-15 08:47:00,2017-07-15 08:46:00,Hit and Run,503,Cambridgeport,"300 BROOKLINE ST, Cambridge, MA",5
2020-04483,2020-07-15 11:39:00,2020-07-15 11:39:00,Admin Error,1303,Strawberry Hill,"0 MAY ST, Cambridge, MA",13
2013-04225,2013-06-12 13:05:00,2013-06-12 13:05:00,Admin Error,202,MIT,"AMES ST & AMHERST ST, Cambridge, MA",2
2016-06729,2016-09-14 17:40:00,2016-09-14 17:40:00,Hit and Run,201,MIT,,2
2016-06149,2016-08-22 22:17:00,2016-08-22 22:17:00,Larceny from MV,702,Riverside,"0 JAY STREET PL, Cambridge, MA",7
2020-07223,2020-10-22 07:44:00,2020-10-22 07:43:00,Forgery,402,Area 4,"200 BROADWAY, Cambridge, MA",4
2012-07562,2012-09-24 21:41:00,2012-09-24 21:40:00,Trespassing,701,Riverside,"700 MASSACHUSETTS AVE, Cambridge, MA",7
2022-06487,2022-08-26 08:11:00,2022-08-26 08:10:00,Admin Error,409,Area 4,"200 HARVARD ST, Cambridge, MA",4
2012-04457,2012-06-16 12:48:00,2012-06-16 12:47:00,Larceny from MV,507,Cambridgeport,"PLEASANT ST & ROCKWELL ST, Cambridge, MA",5
2022-08026,2022-10-15 02:07:00,2022-10-15 02:06:00,OUI,705,Riverside,"GREEN ST & WESTERN AVE, Cambridge, MA",7
2014-08091,2014-10-24 11:24:00,2014-10-24 11:24:00,Admin Error,607,Mid-Cambridge,"500 BROADWAY, Cambridge, MA",6
2020-01478,2020-02-29 12:26:00,2020-02-29 12:25:00,Shoplifting,1002,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",10
2014-03789,2014-06-02 20:01:00,2014-06-02 20:00:00,Larceny of Services,708,Riverside,"0 DUNSTER ST, Cambridge, MA",7
2014-09866,2014-12-29 01:36:00,2014-12-29 01:36:00,Accident,704,Riverside,"300 WESTERN AVE, Cambridge, MA",7
2015-03086,2015-05-04 18:32:00,2015-05-04 18:31:00,Warrant Arrest,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2023-10664,2023-11-21 07:03:00,2023-11-21 07:02:00,Accident,702,Riverside,"600 GREEN ST, Cambridge, MA",7
2012-00887,2012-02-03 22:12:00,2012-02-03 22:12:00,Liquor Possession/Sale,1012,West Cambridge,"200 LAKEVIEW AVE, Cambridge, MA",10
2014-08841,2014-11-20 15:02:00,2014-11-20 15:02:00,Larceny from Person,501,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",5
2014-07662,2014-10-09 20:10:00,2014-10-09 20:10:00,Drugs,601,Mid-Cambridge,"BISHOP ALLEN DR & PROSPECT ST, Cambridge, MA",6
2022-03847,2022-06-02 19:53:00,2022-06-02 19:52:00,Warrant Arrest,506,Cambridgeport,"200 FRANKLIN ST, Cambridge, MA",5
2013-06246,2013-08-14 19:22:00,2013-08-14 19:21:00,Admin Error,509,Cambridgeport,"BROOKLINE ST & GRANITE ST, Cambridge, MA",5
2018-03445,2018-05-25 15:04:00,2018-05-25 15:03:00,Hit and Run,409,Area 4,"200 NORFOLK ST, Cambridge, MA",4
2017-03865,2017-06-09 23:55:00,2017-06-09 23:55:00,Housebreak,607,Mid-Cambridge,"0 REMINGTON ST, Cambridge, MA",6
2022-03707,2022-05-28 14:42:00,2022-05-28 14:42:00,Admin Error,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2016-06560,2016-09-08 17:20:00,2016-09-08 17:20:00,Suspicious Package,502,Cambridgeport,"100 SIDNEY ST, Cambridge, MA",5
2013-06527,2013-08-23 04:35:00,2013-08-23 04:35:00,Larceny from Building,409,Area 4,"BROADWAY & NORFOLK ST, Cambridge, MA",4
2022-07893,2022-10-11 15:32:00,2022-10-11 15:32:00,Embezzlement,1101,North Cambridge,"800 SOMERVILLE AVE, Cambridge, MA",11
2011-09299,2011-11-25 20:27:00,2011-11-25 20:27:00,Mal. Dest. Property,708,Riverside,"0 HOLYOKE ST, Cambridge, MA",7
2022-03288,2022-05-13 11:33:00,2022-05-13 11:32:00,Accident,102,East Cambridge,"0 LAND BLVD, Cambridge, MA",1
2014-05829,2014-08-11 12:09:00,2014-08-11 12:08:00,Noise Complaint,510,Cambridgeport,"800 MEMORIAL DR, Cambridge, MA",5
2016-09297,2016-12-24 17:20:00,2016-12-23 15:00:00,Simple Assault,613,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2009-05574,2009-07-31 01:04:00,2009-07-31 01:04:00,Warrant Arrest,108,East Cambridge,"100 ROGERS ST, Cambridge, MA",1
2022-03767,2022-05-31 12:35:00,2022-05-31 12:35:00,Hit and Run,103,East Cambridge,"200 FIRST ST, Cambridge, MA",1
2014-04040,2014-06-10 18:35:00,2014-06-10 18:35:00,Taxi Violation,201,MIT,"AMES ST & BROADWAY, Cambridge, MA",2
2013-04189,2013-06-10 19:27:00,2013-06-10 19:26:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2013-04804,2013-07-01 08:19:00,2013-07-01 08:19:00,Warrant Arrest,601,Mid-Cambridge,"MASSACHUSETTS AVE & TEMPLE ST, Cambridge, MA",6
2023-02834,2023-04-07 07:33:00,2023-04-07 07:25:00,Aggravated Assault,708,Riverside,"100 WINTHROP ST, Cambridge, MA",7
2010-08948,2010-11-16 17:22:00,2010-11-16 17:22:00,Aggravated Assault,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2011-09926,2011-12-16 19:19:00,2011-12-16 19:18:00,Hit and Run,108,East Cambridge,"BINNEY ST & THIRD ST, Cambridge, MA",1
2011-06891,2011-09-06 00:00:00,2011-09-05 23:55:00,Larceny of Bicycle,901,Peabody,"0 GARDEN ST, Cambridge, MA",9
2018-07893,2018-11-06 18:57:00,2018-10-31 14:00:00,Hit and Run,1111,North Cambridge,"0 Seagrave Rd, Cambridge, MA",11
2020-04117,2020-06-30 06:56:00,2020-06-30 06:55:00,Shoplifting,1101,North Cambridge,"0 White St, Cambridge, MA",11
2019-07270,2019-10-03 19:00:00,2019-10-03 18:59:00,Flim Flam,1110,North Cambridge,"100 CAMBRIDGEPARK DR, Cambridge, MA",11
2014-05612,2014-08-04 18:03:00,2014-08-04 18:03:00,Suspicious Package,501,Cambridgeport,"MASSACHUSETTS AVE & WESTERN AVE, Cambridge, MA",5
2014-08746,2014-11-16 00:30:00,2014-11-16 00:30:00,Disorderly,501,Cambridgeport,"500 MASSACHUSETTS AVE, Cambridge, MA",5
2023-04119,2023-05-12 19:51:00,2023-05-12 19:50:00,Aggravated Assault,409,Area 4,"0 BISHOP ALLEN DR, Cambridge, MA",4
2020-07704,2020-11-05 10:47:00,2020-11-05 10:46:00,Accident,1006,West Cambridge,"200 BRATTLE ST, Cambridge, MA",10
2023-05415,2023-06-18 22:22:00,2023-06-18 22:21:00,Admin Error,607,Mid-Cambridge,"1000 MASSACHUSETTS AVE, Cambridge, MA",6
2017-05183,2017-07-27 15:56:00,2017-07-04 16:30:00,Simple Assault,1204,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2010-09348,2010-12-01 15:59:00,2010-12-01 15:59:00,Shoplifting,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2011-03346,2011-05-11 11:55:00,2011-05-11 11:54:00,Larceny from Person,305,Inman/Harrington,"1400 CAMBRIDGE ST, Cambridge, MA",3
2010-07507,2010-09-26 02:27:00,2010-09-26 02:27:00,Simple Assault,409,Area 4,"100 COLUMBIA ST, Cambridge, MA",4
2018-02613,2018-04-25 18:20:00,2018-04-25 18:15:00,Accident,606,Mid-Cambridge,"BROADWAY & QUINCY ST, Cambridge, MA",6
2013-03970,2013-06-03 12:24:00,2013-06-03 12:23:00,Accident,402,Area 4,"BRISTOL ST & HAMPSHIRE ST, Cambridge, MA",4
2012-09712,2012-12-12 04:54:00,2012-12-12 04:54:00,Street Robbery,411,Area 4,"600 Massachusetts Ave, Cambridge, MA",4
2012-03439,2012-05-11 18:41:00,2012-05-11 18:40:00,Warrant Arrest,1002,West Cambridge,"1400 Massachusetts Ave, Cambridge, MA",10
2023-02057,2023-03-13 10:10:00,2023-03-13 10:09:00,Suspicious Package,1002,West Cambridge,"0 BRATTLE SQ, Cambridge, MA",10
2010-09018,2010-11-18 21:46:00,2010-11-18 21:46:00,Street Robbery,604,Mid-Cambridge,"0 GREENOUGH AVE, Cambridge, MA",6
2020-06495,2020-09-28 13:17:00,2020-09-28 13:16:00,Forgery,409,Area 4,"400 WASHINGTON ST, Cambridge, MA",4
2019-02968,2019-05-04 16:18:00,2019-05-04 16:17:00,Harassment,102,East Cambridge,"100 CAMBRIDGESIDE PL, Cambridge, MA",1
2019-04832,2019-07-12 14:22:00,2019-07-12 14:22:00,Warrant Arrest,602,Mid-Cambridge,"0 CENTRE ST, Cambridge, MA",6
2017-02635,2017-04-26 19:24:00,2017-04-26 19:24:00,Flim Flam,103,East Cambridge,"300 THIRD ST, Cambridge, MA",1
2019-07120,2019-09-28 19:38:00,2019-09-28 19:38:00,Suspicious Package,103,East Cambridge,"BINNEY ST & FIRST ST, Cambridge, MA",1
2015-02424,2015-04-09 11:46:00,2015-04-09 11:46:00,Forgery,108,East Cambridge,"300 THIRD ST, Cambridge, MA",1
2016-07443,2016-10-10 15:40:00,2016-10-10 15:40:00,Shoplifting,1002,West Cambridge,"0 BRATTLE ST, Cambridge, MA",10
2012-09268,2012-11-26 13:12:00,2012-11-26 13:11:00,Warrant Arrest,502,Cambridgeport,"PACIFIC ST & WAVERLY ST, Cambridge, MA",5
2016-08679,2016-11-30 10:50:00,2016-11-30 10:49:00,Hit and Run,906,Peabody,"0 STEARNS ST, Cambridge, MA",9
2014-07108,2014-09-22 15:54:00,2014-09-22 15:53:00,Warrant Arrest,401,Area 4,"300 TECHNOLOGY SQ, Cambridge, MA",4
2011-08672,2011-11-03 17:41:00,2011-11-03 17:40:00,Street Robbery,609,Mid-Cambridge,"100 PROSPECT ST, Cambridge, MA",6
2015-00755,2015-02-02 01:53:00,2015-02-02 01:52:00,Admin Error,1110,North Cambridge,"0 CAMBRIDGEPARK DR, Cambridge, MA",11
2023-02863,2023-04-08 10:29:00,2023-04-08 10:28:00,Simple Assault,411,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",4
2009-05928,2009-08-14 17:53:00,2009-08-14 17:53:00,Shoplifting,411,Area 4,"600 Massachusetts Ave, Cambridge, MA",4
2017-04416,2017-06-30 19:16:00,2017-06-30 19:16:00,Drugs,705,Riverside,"GREEN ST & PLEASANT ST, Cambridge, MA",7
2012-07090,2012-09-08 21:16:00,2012-09-08 21:16:00,Housebreak,510,Cambridgeport,"0 FAIRMONT AVE, Cambridge, MA",5
2016-02473,2016-04-14 17:46:00,2016-04-14 17:46:00,Forgery,1201,Highlands,"100 FAWCETT ST, Cambridge, MA",12
2010-04251,2010-06-13 14:28:00,2010-06-13 13:30:00,Hit and Run,1201,Highlands,"200 Alewife Brook Pky, Cambridge, MA",12
2018-06748,2018-09-23 15:45:00,2018-09-23 15:44:00,Suspicious Package,609,Mid-Cambridge,"100 Prospect St, Cambridge, MA",6
2015-01876,2015-03-17 08:37:00,2015-03-17 08:36:00,Simple Assault,613,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2018-00991,2018-02-15 16:15:00,2018-02-15 16:15:00,Accident,605,Mid-Cambridge,"CAMBRIDGE ST & HOVEY AVE, Cambridge, MA",6
2015-01145,2015-02-19 02:55:00,2015-02-19 02:55:00,Warrant Arrest,613,Mid-Cambridge,"1500 CAMBRIDGE ST, Cambridge, MA",6
2018-08318,2018-11-23 16:37:00,2018-11-23 16:37:00,Commercial Robbery,501,Cambridgeport,"600 MASSACHUSETTS AVE, Cambridge, MA",5
2024-01184,2024-02-12 17:20:00,2024-02-12 17:19:00,Missing Person,411,Area 4,"0 NORFOLK ST, Cambridge, MA",4
2014-03790,2014-06-02 20:25:00,2014-06-02 20:24:00,Warrant Arrest,702,Riverside,"900 MASSACHUSETTS AVE, Cambridge, MA",7
2013-05491,2013-07-22 22:56:00,2013-07-22 22:55:00,Harassment,507,Cambridgeport,"0 WOODROW WILSON CT, Cambridge, MA",5
2016-00674,2016-01-30 20:28:00,2016-01-30 20:28:00,Street Robbery,107,East Cambridge,"100 FIRST ST, Cambridge, MA",1
2012-02447,2012-04-04 14:49:00,2012-04-04 14:49:00,Drugs,504,Cambridgeport,"GREEN ST & PEARL ST, Cambridge, MA",5
2020-06025,2020-09-10 13:58:00,2020-09-07 22:30:00,Larceny from MV,409,Area 4,"0 PERCY PL, Cambridge, MA",4
2018-07726,2018-10-30 20:03:00,2018-10-30 20:03:00,Admin Error,1108,North Cambridge,"100 CLIFTON ST, Cambridge, MA",11
2023-03392,2023-04-24 11:30:00,2023-04-24 11:30:00,Mal. Dest. Property,707,Riverside,"0 ARROW ST, Cambridge, MA",7
2016-06469,2016-09-04 22:53:00,2016-09-04 22:52:00,Auto Theft,1012,West Cambridge,"200 LAKEVIEW AVE, Cambridge, MA",10
2015-05580,2015-07-27 18:42:00,2015-07-27 18:41:00,Shoplifting,411,Area 4,"600 MASSACHUSETTS AVE, Cambridge, MA",4
2022-00788,2022-02-05 11:29:00,2022-02-05 11:28:00,Warrant Arrest,304,Inman/Harrington,"100 WILLOW ST, Cambridge, MA",3
2021-06324,2021-08-31 20:24:00,2021-08-31 20:23:00,Hit and Run,409,Area 4,"BROADWAY & NORFOLK ST, Cambridge, MA",4
2009-07391,2009-10-04 19:14:00,2009-10-04 19:14:00,Street Robbery,905,Peabody,"Massachusetts Ave & UPLAND RD, Cambridge, MA",9
